fips,pop,area,cname,sname,density
01001,55601,594.4,Autauga,AL,93.5
01003,218022,1589.8,Baldwin,AL,137.1
01005,24881,885.0,Barbour,AL,28.1
01007,22400,622.5,Bibb,AL,36.0
01009,57840,644.8,Blount,AL,89.7
01011,10138,622.8,Bullock,AL,16.3
01013,19680,776.8,Butler,AL,25.3
01015,114277,605.9,Calhoun,AL,188.6
01017,33615,596.6,Chambers,AL,56.3
01019,26032,553.5,Cherokee,AL,47.0
01021,44153,692.9,Chilton,AL,63.7
01023,12841,913.5,Choctaw,AL,14.1
01025,23920,1238.4,Clarke,AL,19.3
01027,13275,604.0,Clay,AL,22.0
01029,14987,560.1,Cleburne,AL,26.8
01031,51909,679.0,Coffee,AL,76.4
01033,54762,592.7,Colbert,AL,92.4
01035,12277,850.2,Conecuh,AL,14.4
01037,10715,650.9,Coosa,AL,16.5
01039,36986,1030.6,Covington,AL,35.9
01041,13824,608.9,Crenshaw,AL,22.7
01043,83442,734.8,Cullman,AL,113.6
01045,48956,561.1,Dale,AL,87.3
01047,38310,978.7,Dallas,AL,39.1
01049,71385,777.1,DeKalb,AL,91.9
01051,81887,618.4,Elmore,AL,132.4
01053,36748,945.2,Escambia,AL,38.9
01055,102501,535.3,Etowah,AL,191.5
01057,16433,627.7,Fayette,AL,26.2
01059,31363,633.9,Franklin,AL,49.5
01061,26314,574.5,Geneva,AL,45.8
01063,8233,647.0,Greene,AL,12.7
01065,14726,644.0,Hale,AL,22.9
01067,17209,561.8,Henry,AL,30.6
01069,104722,579.9,Houston,AL,180.6
01071,51736,1078.0,Jackson,AL,48.0
01073,659300,1111.4,Jefferson,AL,593.2
01075,13844,604.8,Lamar,AL,22.9
01077,92387,668.0,Lauderdale,AL,138.3
01079,32957,690.7,Lawrence,AL,47.7
01081,163941,607.6,Lee,AL,269.8
01083,96174,560.0,Limestone,AL,171.7
01085,9974,715.9,Lowndes,AL,13.9
01087,18439,608.8,Macon,AL,30.3
01089,366519,801.6,Madison,AL,457.2
01091,19066,976.9,Marengo,AL,19.5
01093,29763,742.3,Marion,AL,40.1
01095,96109,565.8,Marshall,AL,169.9
01097,413757,1229.4,Mobile,AL,336.6
01099,21067,1025.7,Monroe,AL,20.5
01101,225763,785.3,Montgomery,AL,287.5
01103,119089,579.4,Morgan,AL,205.5
01105,9140,719.7,Perry,AL,12.7
01107,19938,881.4,Pickens,AL,22.6
01109,33338,672.1,Pike,AL,49.6
01111,22725,580.5,Randolph,AL,39.1
01113,57781,641.2,Russell,AL,90.1
01115,88690,631.6,St. Clair,AL,140.4
01117,215707,785.4,Shelby,AL,274.6
01119,12691,903.8,Sumter,AL,14.0
01121,79828,736.8,Talladega,AL,108.3
01123,40497,716.5,Tallapoosa,AL,56.5
01125,208911,1320.9,Tuscaloosa,AL,158.2
01127,63711,791.0,Walker,AL,80.5
01129,16378,1080.2,Washington,AL,15.2
01131,10627,888.5,Wilcox,AL,12.0
01133,23660,613.0,Winston,AL,38.6
02013,3515,6985.1,Aleutians East,AK,0.5
02016,5723,4392.1,Aleutians West,AK,1.3
02020,291538,1706.4,Anchorage,AK,170.8
02050,18216,40629.1,Bethel,AK,0.4
02060,877,482.0,Bristol Bay,AK,1.8
02068,2059,12637.0,Denali,AK,0.2
02070,5000,18331.4,Dillingham,AK,0.3
02090,98971,7329.5,Fairbanks North Star,AK,13.5
02100,2474,2339.6,Haines,AK,1.1
02105,2151,6556.6,Hoonah-Angoon,AK,0.3
02110,32113,2703.9,Juneau,AK,11.9
02122,58533,16023.3,Kenai Peninsula,AK,3.7
02130,13918,4856.9,Ketchikan Gateway,AK,2.9
02150,13345,6615.4,Kodiak Island,AK,2.0
02158,8303,17073.9,Kusilvak,AK,0.5
02164,1587,23897.4,Lake and Peninsula,AK,0.1
02170,107610,24713.8,Matanuska-Susitna,AK,4.4
02180,10008,22972.0,Nome,AK,0.4
02185,9872,88824.4,North Slope,AK,0.1
02188,7671,35648.5,Northwest Arctic,AK,0.2
02195,3221,2900.6,Petersburg,AK,1.1
02198,6422,5262.8,Prince of Wales-Hyder,AK,1.2
02220,8647,2870.0,Sitka,AK,3.0
02230,1148,433.9,Skagway,AK,2.6
02240,6918,24822.8,Southeast Fairbanks,AK,0.3
02261,9164,34221.9,Valdez-Cordova,AK,0.3
02275,2503,2556.0,Wrangell,AK,1.0
02282,604,7623.3,Yakutat,AK,0.1
02290,5327,145573.9,Yukon-Koyukuk,AK,0.0
04001,71818,11197.5,Apache,AZ,6.4
04003,126770,6164.6,Cochise,AZ,20.6
04005,142854,18618.7,Coconino,AZ,7.7
04007,53889,4758.0,Gila,AZ,11.3
04009,38072,4622.7,Graham,AZ,8.2
04011,9483,1842.0,Greenlee,AZ,5.1
04012,21098,4499.6,La Paz,AZ,4.7
04013,4410824,9199.3,Maricopa,AZ,479.5
04015,209550,13311.1,Mohave,AZ,15.7
04017,110445,9949.9,Navajo,AZ,11.1
04019,1039073,9187.2,Pima,AZ,113.1
04021,447138,5365.8,Pinal,AZ,83.3
04023,46511,1236.9,Santa Cruz,AZ,37.6
04025,231993,8123.5,Yavapai,AZ,28.6
04027,212128,5514.0,Yuma,AZ,38.5
05001,17769,988.8,Arkansas,AR,18.0
05003,20046,925.4,Ashley,AR,21.7
05005,41619,554.2,Baxter,AR,75.1
05007,272608,847.6,Benton,AR,321.6
05009,37480,590.0,Boone,AR,63.5
05011,10897,649.2,Bradley,AR,16.8
05013,5277,628.6,Calhoun,AR,8.4
05015,28223,630.0,Carroll,AR,44.8
05017,10438,644.3,Chicot,AR,16.2
05019,22061,866.1,Clark,AR,25.5
05021,14847,639.5,Clay,AR,23.2
05023,24965,553.7,Cleburne,AR,45.1
05025,8018,597.8,Cleveland,AR,13.4
05027,23537,766.0,Columbia,AR,30.7
05029,20891,552.3,Conway,AR,37.8
05031,108558,707.3,Craighead,AR,153.5
05033,63406,591.2,Crawford,AR,107.2
05035,48342,610.3,Crittenden,AR,79.2
05037,16676,616.4,Cross,AR,27.1
05039,7182,667.4,Dallas,AR,10.8
05041,11512,768.1,Desha,AR,15.0
05043,18328,828.4,Drew,AR,22.1
05045,124806,647.9,Faulkner,AR,192.6
05047,17810,608.9,Franklin,AR,29.2
05049,12269,618.2,Fulton,AR,19.8
05051,99154,677.7,Garland,AR,146.3
05053,18188,631.8,Grant,AR,28.8
05055,45325,577.7,Greene,AR,78.5
05057,21741,727.5,Hempstead,AR,29.9
