fips,week,cases,totcases,rate,temp
1003,2/8/2021,552,18763,253.19,57.27
1003,2/1/2021,878,18211,402.71,59.16
1003,1/25/2021,987,17333,452.71,45.19
1003,1/18/2021,929,16346,426.1,45.13
1003,1/11/2021,1230,15417,564.16,55.76
1003,1/4/2021,1225,14187,561.87,51.58
1003,12/28/2020,1010,12962,463.26,49.81
1003,12/21/2020,1054,11952,483.44,54.54
1003,12/14/2020,1077,10898,493.99,48.69
1003,12/7/2020,931,9821,427.02,58.93
1003,11/30/2020,621,8890,284.83,60.89
1003,11/23/2020,573,8269,262.82,67.34
1003,11/16/2020,433,7696,198.6,66.83
1003,11/9/2020,278,7263,127.51,64.22
1003,11/2/2020,291,6985,133.47,74.33
1003,10/26/2020,319,6694,146.32,71.52
1003,10/19/2020,155,6375,71.09,75.06
1003,10/12/2020,135,6220,61.92,69.28
1003,9/28/2020,501,5588,229.79,74.54
1003,9/21/2020,109,5087,49.99,79.55
1003,9/14/2020,248,4978,113.75,81.39
1003,9/7/2020,185,4730,84.85,81.18
1003,8/31/2020,378,4545,173.38,79.87
1005,2/8/2021,52,2008,208.99,55.14
1005,2/1/2021,122,1956,490.33,55.91
1005,1/25/2021,104,1834,417.99,44.5
1005,1/18/2021,67,1730,269.28,43.3
1005,1/11/2021,130,1663,522.49,53.4
1005,1/4/2021,116,1533,466.22,48.15
1005,12/28/2020,81,1417,325.55,48.04
1005,12/21/2020,61,1336,245.17,52.79
1005,12/14/2020,51,1275,204.98,46.13
1005,12/7/2020,46,1224,184.88,55.86
1005,11/30/2020,17,1178,68.33,56.89
1005,11/23/2020,31,1161,124.59,64.82
1005,11/16/2020,32,1130,128.61,64.45
1005,11/9/2020,33,1098,132.63,63.96
1005,11/2/2020,32,1065,128.61,72.93
1005,10/26/2020,52,1033,208.99,70.05
1005,10/19/2020,37,981,148.71,72.51
1005,10/12/2020,23,944,92.44,64.54
1005,10/5/2020,35,921,140.67,67.88
1005,9/28/2020,48,886,192.92,70.35
1005,9/21/2020,37,838,148.71,78.35
1005,9/14/2020,23,801,92.44,80.2
1005,9/7/2020,21,778,84.4,80.85
1005,8/31/2020,37,757,148.71,79.11
1007,2/8/2021,37,2346,165.18,53
1007,2/1/2021,80,2309,357.14,52.05
1007,1/25/2021,67,2229,299.11,41.4
1007,1/18/2021,102,2162,455.36,39.8
1007,1/11/2021,175,2060,781.25,50.6
1007,1/4/2021,123,1885,549.11,47.05
1007,12/28/2020,134,1762,598.21,45.65
1007,12/21/2020,173,1628,772.32,48.2
1007,12/14/2020,156,1455,696.43,42.6
1007,12/7/2020,103,1299,459.82,50.3
1007,11/30/2020,54,1196,241.07,54.9
1007,11/23/2020,149,1142,665.18,60.2
1007,11/16/2020,61,993,272.32,62.4
1007,11/9/2020,49,932,218.75,61
1007,11/2/2020,40,883,178.57,72.2
1007,10/26/2020,54,843,241.07,67.65
1007,10/19/2020,51,789,227.68,71.05
1007,10/12/2020,51,738,227.68,65.8
1007,10/5/2020,30,687,133.93,69.6
1007,9/28/2020,21,657,93.75,72.8
1007,9/21/2020,26,636,116.07,78.8
1007,9/14/2020,27,610,120.54,80.35
1007,9/7/2020,29,583,129.46,81.7
1007,8/31/2020,28,554,125,79.95
1009,2/8/2021,200,5920,345.78,53.83
1009,2/1/2021,235,5720,406.29,47.31
1009,1/25/2021,177,5485,306.02,39.1
1009,1/18/2021,228,5308,394.19,37.1
1009,1/11/2021,309,5080,534.23,48.9
1009,1/4/2021,288,4771,497.93,43.95
1009,12/28/2020,249,4483,430.5,42.85
1009,12/21/2020,431,4234,745.16,46.25
1009,12/14/2020,479,3803,828.15,40.5
1009,12/7/2020,327,3324,565.35,47.5
1009,11/30/2020,234,2997,404.56,52.15
1009,11/23/2020,189,2763,326.76,58.05
1009,11/16/2020,239,2574,413.21,59.55
1009,11/9/2020,227,2335,392.46,57.7
1009,11/2/2020,166,2108,287,67.45
1009,10/26/2020,104,1942,179.81,63.25
1009,10/19/2020,116,1838,200.55,65.8
1009,10/12/2020,60,1722,103.73,61
1009,10/5/2020,44,1662,76.07,64.65
1009,9/28/2020,58,1618,100.28,67.95
1009,9/21/2020,96,1560,165.98,74.1
1009,9/14/2020,80,1464,138.31,75.2
1009,9/7/2020,97,1384,167.7,77.45
1009,8/31/2020,152,1287,262.79,74.6
1011,2/8/2021,43,1132,424.15,44.67
1011,1/11/2021,47,957,463.6,50.63
1011,1/4/2021,80,910,789.11,45.55
1011,12/28/2020,76,830,749.65,46
1011,12/21/2020,26,754,256.46,51.25
1011,12/14/2020,14,728,138.09,44.85
1011,12/7/2020,12,714,118.37,55.25
1011,11/30/2020,12,702,118.37,54.85
1011,11/23/2020,13,690,128.23,63.7
1011,11/16/2020,13,677,128.23,62.7
1011,11/9/2020,9,664,88.77,62.9
1011,11/2/2020,6,655,59.18,71.05
1011,10/26/2020,14,649,138.09,66.85
1011,10/19/2020,10,635,98.64,70.55
1011,10/12/2020,12,625,118.37,65.2
1011,10/5/2020,6,613,59.18,68.15
1011,9/28/2020,16,607,157.82,70.8
1011,9/21/2020,11,591,108.5,77.6
1011,9/14/2020,12,580,118.37,79.2
1011,9/7/2020,17,568,167.69,80.75
1011,8/31/2020,15,551,147.96,78.65
1013,2/8/2021,41,1868,208.33,66.25
1013,2/1/2021,79,1827,401.42,58.75
1013,1/25/2021,46,1748,233.74,45.17
1013,1/18/2021,65,1702,330.28,45.83
1013,1/11/2021,83,1637,421.75,47.25
1013,1/4/2021,97,1554,492.89,51
1013,12/28/2020,52,1457,264.23,45.5
1013,12/21/2020,65,1405,330.28,53.57
1013,12/14/2020,96,1340,487.8,44.17
1013,12/7/2020,66,1244,335.37,47
1013,11/30/2020,41,1178,208.33,56.83
1013,11/23/2020,42,1137,213.41,64.7
1013,11/16/2020,41,1095,208.33,74
1013,11/9/2020,28,1054,142.28,59
1013,11/2/2020,13,1026,66.06,74.25
1013,10/26/2020,15,1013,76.22,68.38
1013,10/19/2020,36,998,182.93,68.38
1013,10/12/2020,35,962,177.85,66.75
1013,10/5/2020,13,927,66.06,69.92
1013,9/28/2020,3,914,15.24,72.08
1013,9/21/2020,11,911,55.89,79.67
1013,9/14/2020,8,900,40.65,81.79
1013,9/7/2020,26,892,132.11,83.5
1013,8/31/2020,41,866,208.33,81.17
1015,2/8/2021,364,12426,318.52,51.29
1015,2/1/2021,507,12062,443.66,50.05
1015,1/25/2021,394,11555,344.78,40.85
1015,1/18/2021,624,11161,546.04,39.55
1015,1/11/2021,785,10537,686.93,49.5
1015,1/4/2021,466,9752,407.78,45.2
1015,12/28/2020,602,9286,526.79,45.7
1015,12/21/2020,812,8684,710.55,48.75
1015,12/14/2020,707,7872,618.67,41.44
1015,12/7/2020,735,7165,643.17,50.4
1015,11/30/2020,433,6430,378.9,54.05
1015,11/23/2020,331,5997,289.65,60.78
1015,11/16/2020,449,5666,392.9,62.55
1015,11/9/2020,292,5217,255.52,61.3
1015,11/2/2020,304,4925,266.02,71.9
1015,10/26/2020,519,4621,454.16,66.45
1015,10/19/2020,241,4102,210.89,69.3
1015,10/12/2020,156,3861,136.51,64.2
1015,10/5/2020,157,3705,137.39,68.15
1015,9/28/2020,174,3548,152.26,71.05
1015,9/21/2020,264,3374,231.02,78
1015,9/14/2020,233,3110,203.89,78.8
1015,9/7/2020,310,2877,271.27,81.35
1015,8/31/2020,240,2567,210.02,79.1
1017,1/11/2021,236,2651,702.07,47.88
1017,1/4/2021,186,2415,553.32,42.65
1017,12/28/2020,96,2229,285.59,43.45
1017,12/21/2020,111,2133,330.21,46.7
1017,12/14/2020,107,2022,318.31,39.56
1017,12/7/2020,136,1915,404.58,50.39
1017,11/30/2020,99,1779,294.51,50.8
1017,11/23/2020,108,1680,321.29,60.25
1017,11/16/2020,83,1572,246.91,59.15
1017,11/9/2020,92,1489,273.69,58.05
1017,11/2/2020,45,1397,133.87,65.85
1017,10/26/2020,79,1352,235.01,62.7
1017,10/19/2020,28,1273,83.3,66.8
1017,10/12/2020,37,1245,110.07,61.4
1017,10/5/2020,36,1208,107.1,66.35
1017,9/28/2020,40,1172,118.99,69.65
1017,9/21/2020,35,1132,104.12,76.45
1017,9/14/2020,34,1097,101.15,77.15
1017,9/7/2020,30,1063,89.25,79.6
1017,8/31/2020,62,1033,184.44,77.4
1019,2/8/2021,24,1731,92.19,47.5
1019,2/1/2021,47,1707,180.55,45.9
1019,1/25/2021,55,1660,211.28,39.17
1019,1/18/2021,60,1605,230.49,37.9
1019,1/11/2021,104,1545,399.51,47.1
1019,1/4/2021,69,1441,265.06,41.85
1019,12/28/2020,78,1372,299.63,43.3
1019,12/21/2020,90,1294,345.73,44.9
1019,12/14/2020,94,1204,361.09,39.25
1019,12/7/2020,76,1110,291.95,48.1
1019,11/30/2020,45,1034,172.86,51.45
1019,11/23/2020,77,989,295.79,59.2
1019,11/16/2020,67,912,257.38,58.95
