fips,temp
37017,65.0      
37167,61.0      
39153,46.3      
42113,41.0      
48459,60.8      
45021,54.5      
01043,59.8      
54023,49.5      
46055,23.2      
55061,32.5      
18049,41.5      
19083,25.5      
20133,42.3      
31133,30.0      
01059,62.3      
29175,55.0      
35028,15.5      
37105,63.5      
39137,42.0      
45039,56.5      
48021,64.5      
55113,12.0      
48233,31.5      
55031,13.3      
48095,61.2      
51065,59.5      
26121,32.8      
27005,3.3       
22073,67.0      
15005,74.5      
18127,37.9      
20075,27.0      
26139,39.5      
26101,29.5      
38019,0.0       
05145,62.0      
13081,56.5      
13043,59.5      
19141,20.5      
20123,29.5      
17023,52.5      
24047,54.0      
26019,32.8      
31135,26.0      
20189,24.0      
46105,20.8      
51141,55.5      
01109,61.8      
19081,22.8      
21215,57.0      
26087,38.8      
27009,14.0      
27007,-1.3      
28115,60.8      
01075,60.5      
12061,58.3      
12073,57.3      
26149,41.5      
26031,29.8      
31165,12.6      
39051,42.5      
37007,60.5      
01073,63.5      
08047,0.5       
13089,59.5      
19019,28.5      
26079,31.5      
27097,12.5      
01079,56.8      
05059,55.3      
20155,34.3      
31151,27.0      
29027,39.0      
40011,37.3      
48375,29.5      
55107,19.0      
48103,58.0      
47117,59.3      
48381,40.3      
48285,66.0      
29097,36.0      
17187,38.5      
18107,48.0      
28081,62.5      
28087,61.5      
39113,48.0      
31137,25.0      
01017,54.0      
13073,60.0      
17083,51.5      
26151,35.5      
29031,52.5      
37055,59.2      
21069,52.5      
29117,32.8      
29085,53.0      
39173,35.7      
51840,53.0      
48441,42.5      
54095,48.0      
55015,31.8      
31143,26.0      
31157,15.6      
05009,50.0      
12103,64.0      
16081,6.5       
20129,24.0      
26059,40.0      
36101,38.4      
39083,46.0      
47181,56.5      
54065,53.0      
18031,49.5      
19023,27.0      
20073,47.0      
39169,45.5      
40153,31.4      
46025,16.0      
47169,60.5      
48025,67.0      
48151,32.5      
48005,66.0      
56033,5.3       
48383,58.0      
51159,61.0      
56031,10.5      
20023,24.0      
31179,25.3      
31109,25.8      
38075,10.5      
08125,21.0      
30065,16.8      
31185,27.0      
37063,58.5      
47007,56.5      
49031,7.1       
51580,52.0      
01053,59.0      
20089,29.5      
46099,16.7      
36097,37.5      
42015,42.0      
20059,48.5      
13113,64.5      
17171,49.0      
04003,43.3      
06049,20.8      
17091,44.0      
19195,22.5      
19063,16.8      
26053,12.0      
20077,40.5      
47109,58.0      
39003,44.5      
51199,62.5      
13123,62.0      
18139,52.5      
21067,50.0      
26049,36.8      
37015,62.8      
46121,20.5      
55087,34.0      
18105,50.7      
08113,15.5      
19027,25.0      
39085,40.5      
31035,28.0      
04011,28.1      
21019,50.5      
36015,38.3      
48195,35.0      
51183,60.8      
46063,19.9      
37199,52.3      
28045,62.0      
05065,55.5      
18157,47.2      
18011,48.0      
20169,29.5      
26015,38.0      
27161,20.5      
37057,60.5      
39141,48.0      
47175,57.0      
48305,53.0      
48117,46.0      
56009,5.8       
48267,55.5      
35025,45.0      
08023,9.0       
19077,27.5      
28129,58.5      
20097,33.0      
29217,52.5      
31077,24.0      
48221,59.5      
51790,58.0      
17011,38.5      
19021,19.3      
28153,61.3      
04019,40.1      
40053,32.0      
48357,37.0      
40059,28.5      
17177,33.0      
18091,37.3      
36067,34.5      
19007,32.5      
19179,28.5      
16055,25.8      
47075,64.0      
19003,28.5      
17155,36.5      
19033,20.8      
26023,37.5      
19041,16.5      
37159,58.0      
56001,3.6       
02016,35.9      
08013,4.0       
13303,58.0      
20109,24.8      
21033,49.5      
26137,25.5      
26143,28.0      
35043,31.8      
46015,21.5      
46005,15.0      
48091,63.5      
54005,50.5      
28037,67.5      
29215,53.5      
21237,56.5      
48023,43.5      
46081,18.5      
46087,18.3      
46073,19.5      
42035,45.0      
51075,61.5      
47101,60.5      
47113,59.7      
27083,14.8      
47135,59.7      
47147,63.0      
47155,50.4      
55097,31.8      
55099,16.0      
51037,59.5      
55033,20.8      
17075,43.0      
13181,58.5      
24025,45.5      
31095,25.5      
31145,26.3      
31181,27.5      
39017,51.5      
17191,50.0      
19107,32.5      
17199,49.5      
12049,56.0      
13187,58.0      
12043,58.5      
13195,58.5      
48481,67.0      
13219,57.0      
51013,57.0      
